n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,417813.476,NaN,0,0,0,-0.000017453292519943296,0,1.6590925336532896,0,0,0.242,0,50
1,417948.791,NaN,0,0,0,-0.000017453292519943296,0,1.6591623468233694,0,0,0.242,0,50
2,418018.92,NaN,0,0,0,0.00013962634015954637,0.00010471975511965978,1.6592147067009295,0,0,0.242,0,50
3,418089.355,NaN,0,0,0,0.00047123889803846896,0.00015707963267948963,1.6592670665784892,0,0,0.242,0,50
4,418154.51,65.15500000002794,0,0,0,0.000593411945678072,0.00022689280275926284,1.6593892396261285,0,0,0.242,0,50
5,418219.635,65.125,0,0,0,0.0005585053606381855,0.0004537856055185257,1.6589005474355705,0,0,0.242,0,50
6,418285.003,65.36800000001676,0,0,0,0.0006981317007977319,-0.00008726646259971648,1.6591972534084094,0,0,0.242,0,50
7,418350.006,65.00299999996787,0,0,0,0.0008552113334772215,-0.00003490658503988659,1.6593892396261285,0,0,0.242,0,50
8,418415.191,65.18499999999767,0,0,0,0.0009250245035569946,0,1.6594765060887284,0,0,0.242,0,50
9,418480.346,65.15500000002794,0,0,0,0.0011344640137963143,-0.000017453292519943296,1.6592147067009295,0,0,0.242,0,50
10,418545.562,65.2159999999567,0,0,0,0.0010995574287564276,0,1.6595637725513281,0,0,0.242,0,50
11,418610.748,65.18600000004517,0,0,0,0.001117010721276371,0.000017453292519943296,1.659616132428888,0,0,0.242,0,50
12,418676.025,65.27700000000186,0,0,0,0.0012042771838760874,-0.0002443460952792061,1.6592321599934492,0,0,0.242,0,50
13,418740.997,64.97199999995064,0,0,0,0.0009773843811168245,0.00017453292519943296,1.6594765060887284,0,0,0.242,0,50
14,418806.427,65.43000000005122,0,0,0,0.001239183768915974,-0.00010471975511965978,1.6598255719391273,0,0,0.242,0,50
15,418871.368,64.94099999999162,0,0,0,0.001500983156715123,-0.00038397243543875244,1.6600001048643267,0,0,0.242,0,50
16,418936.614,65.24599999998463,0,0,0,0.0010471975511965976,-0.00038397243543875244,1.6596510390139276,0,0,0.242,0,50
17,419001.708,65.09399999998277,0,0,0,0.0010821041362364843,-0.0006632251157578452,1.6593368797485688,0,0,0.242,0,50
18,419066.925,65.21700000000419,0,0,0,0.0011519173063162574,-0.0007853981633974483,1.6590401737757299,0,0,0.242,0,50
19,419132.293,65.36800000001676,0,0,0,0.0009773843811168245,-0.0010821041362364843,1.65907508036077,0,0,0.242,0,50
20,419197.326,65.03299999999581,0,0,0,0.0015707963267948967,-0.001064650843716541,1.6594066929186486,0,0,0.242,0,50
21,419262.481,65.15500000002794,0,0,0,0.001256637061435917,-0.001291543646475804,1.6596510390139276,0,0,0.242,0,50
22,419327.819,65.33799999998882,0,0,0,0.0015358897417550098,-0.001500983156715123,1.6593543330410887,0,0,0.242,0,50
23,419392.822,65.00299999996787,0,0,0,0.0013788101090755204,-0.0016929693744344998,1.6588830941430504,0,0,0.242,0,50
24,419458.038,65.2160000000149,0,0,0,0.0015358897417550098,-0.001954768762233649,1.6593717863336088,0,0,0.242,0,50
25,419523.223,65.18499999999767,0,0,0,0.001064650843716541,-0.0019024088846738192,1.6595288659662883,0,0,0.242,0,50
26,419588.562,65.33899999997811,0,0,0,0.0015882496193148398,-0.0018151424220741027,1.6598081186466074,0,0,0.242,0,50
27,419653.961,65.399000000034,0,0,0,0.0018500490071139892,-0.002513274122871834,1.6615883544836416,0,0,0.242,0,50
28,419718.902,64.94099999999162,0,0,0,0.0026529004630313807,-0.0022689280275926286,1.6643808812868324,0,0,0.242,0,50
29,419784.057,65.15499999996973,0,0,0,0.0036302848441482054,-0.002373647782712288,1.667906446375861,0,0,0.242,0,50
30,419849.395,65.33800000004703,0,0,0,0.004468042885105484,-0.0020245819323134223,1.6696692289203754,0,0,0.242,0,50
31,419914.428,65.03299999999581,0,0,0,0.004380776422505768,-0.0024609142453120045,1.6733867802271232,0,0,0.242,0,50
32,419979.644,65.2159999999567,0,0,0,0.003717551306747922,-0.002565634000431664,1.676545826173233,0,0,0.243,0,50
33,420044.799,65.15500000002794,0,0,0,0.003944444109507185,-0.0022863813201125715,1.680123751139821,0,0,0.242,0,50
34,420109.985,65.18599999998696,0,0,0,0.006684611035138282,-0.0009773843811168245,1.6852899257257248,0,0,0.241,0,50
35,420175.231,65.24600000004284,0,0,0,0.011082840750163993,-0.0020769418098732523,1.6929170145569399,0,0,0.241,0,50
36,420240.447,65.2159999999567,0,0,0,0.018832102629018813,0.0017453292519943296,1.7000903177826365,0,0,0.241,0,50
37,420305.572,65.125,0,0,0,0.021031217486531674,0.002181661564992912,1.7033017236063062,0,0,0.242,0,50
38,420370.849,65.27700000000186,0,0,0,0.010663961729685353,0.004206243497306334,1.7037555092118244,0,0,0.242,0,50
39,420435.913,65.06400000001304,0,0,0,0.006876597252857658,-0.007592182246175334,1.7059546240693373,0,0,0.241,0,50
40,420501.068,65.15500000002794,0,0,0,0.0170518667919846,-0.022375121010567305,1.7044885474976623,0,0,0.242,0,50
41,420566.497,65.42899999994552,0,0,0,0.027419122548830912,-0.03082251459021986,1.7064782228449358,0,0,0.242,0,50
42,420631.469,64.97200000000885,0,0,0,0.02527236756887789,-0.030368728984701335,1.7068971018654144,0,0,0.242,0,50
43,420696.746,65.27700000000186,0,0,0,0.014800392056911913,-0.025621433419276758,1.7022894326401494,0,0,0.241,0,50
44,420761.901,65.15500000002794,0.002155992031097412,0.0017245949506759642,0,0.0019198621771937623,-0.012356931104119851,1.4231938319537363,0,0,0.242,0,50
45,420827.056,65.15499999996973,0.008763659477233886,0.009299201011657715,0,-0.006056292504420323,0.0015882496193148398,1.4219022883072603,0,0,0.242,0,50
46,420892.303,65.24700000003213,0.01520760154724121,0.006571969509124756,0,-0.006719517620178169,0.0068591439603377154,1.4222164475726191,0,0,0.259,0,50
47,420957.305,65.00199999997858,0.01303610134124756,0.014773947715759277,0,0.0014486232791552935,0.013910274138394806,1.4259339988793673,0,0,0.281,0,50
48,421022.705,65.40000000002328,0.020992633819580078,0.015450346946716308,0,0.001064650843716541,0.010629055144645468,1.4263877844848856,0,0,0.342,0,50
49,421087.738,65.03299999999581,0.0005861473083496094,0.049044448852539065,0,-0.0029321531433504737,0.0002617993877991494,1.4281156604443601,0,0,0.381,0,50
50,421153.015,65.27700000000186,0.0057171077728271485,0.03396649932861328,0,-0.009128071987930345,-0.010035643198967393,1.428796338852638,0,0,0.462,0,50
51,421218.414,65.39899999997579,0.028183830261230468,0.003920221328735351,0,-0.01387536755335492,-0.01361356816555577,1.4279062209341207,0,0,0.541,0,50
52,421283.294,64.88000000000466,0.011529821395874024,-0.02624956512451172,0,-0.007923794804054257,-0.00853466004225227,1.4283774598321592,0,0,0.576,0,50
53,421348.388,65.09399999998277,0.0066623973846435544,-0.02991795539855957,0,0.00027925268031909274,-0.003961897402027128,1.4278713143490809,0,0,0.646,0,50
