n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,639006.195,NaN,0,0,0,0.00003490658503988659,0,1.237927131854538,0,0,0.242,0,79
1,639136.627,NaN,0,0,0,-0.00005235987755982989,-0.00013962634015954637,1.237927131854538,0,0,0.242,0,79
2,639201.782,NaN,0,0,0,-0.00006981317007977319,-0.00022689280275926284,1.237927131854538,0,0,0.242,0,79
3,639267.181,NaN,0,0,0,-0.00013962634015954637,0.00005235987755982989,1.2380493049021777,0,0,0.242,0,79
4,639332.244,65.06299999996554,0,0,0,-0.00019198621771937622,-0.00031415926535897925,1.2369497474734212,0,0,0.242,0,79
5,639397.247,65.00300000002608,0,0,0,-0.0004363323129985824,-0.0007853981633974483,1.2369497474734212,0,0,0.242,0,79
6,639462.463,65.2160000000149,0,0,0,-0.0004363323129985824,-0.0009250245035569946,1.2370719205210607,0,0,0.242,0,79
7,639527.618,65.15500000002794,0,0,0,-0.000593411945678072,-0.0009599310885968812,1.2370893738135806,0,0,0.242,0,79
8,639592.834,65.2160000000149,0,0,0,-0.0005410520681182421,-0.0012042771838760874,1.2368450277183016,0,0,0.242,0,79
9,639658.05,65.2160000000149,0,0,0,-0.00047123889803846896,-0.0014660765716752368,1.236984654058461,0,0,0.242,0,79
10,639723.266,65.21599999989849,0,0,0,-0.0004188790204786391,-0.0015184364492350666,1.2368973875958613,0,0,0.242,0,79
11,639788.33,65.06400000001304,0,0,0,-0.00034906585039886593,-0.0017453292519943296,1.2366355882080622,0,0,0.242,0,79
12,639853.668,65.33799999998882,0,0,0,-0.00020943951023931956,-0.0019896753472735357,1.2372813600313002,0,0,0.242,0,79
13,639918.67,65.002000000095,0,0,0,-0.00008726646259971648,-0.002181661564992912,1.2363912421127832,0,0,0.242,0,79
14,639983.886,65.2160000000149,0,0,0,-0.0004537856055185257,-0.002129301687433082,1.2360770828474241,0,0,0.242,0,79
15,640049.041,65.15499999991152,0,0,0,-0.00015707963267948963,-0.0025481807079117207,1.2369148408883814,0,0,0.243,0,79
16,640114.227,65.18599999998696,0,0,0,-0.000017453292519943296,-0.002897246558310587,1.2358850966297048,0,0,0.242,0,79
17,640179.504,65.27700000000186,0,0,0,-0.0004886921905584122,-0.0031764992386296795,1.2366006816230224,0,0,0.242,0,79
18,640244.598,65.09400000004098,0,0,0,-0.0004537856055185257,-0.003298672286269283,1.2359898163848242,0,0,0.242,0,79
19,640309.722,65.1239999999525,0,0,0,-0.0004014257279586958,-0.0036302848441482054,1.2356931104119853,0,0,0.242,0,79
20,640375.061,65.33900000003632,0,0,0,-0.000017453292519943296,-0.003577924966588375,1.2359200032147446,0,0,0.242,0,79
21,640440.093,65.03200000000652,0,0,0,0.00003490658503988659,-0.0038746309394274117,1.2353789511466262,0,0,0.242,0,79
22,640505.31,65.2170000000624,0,0,0,0.00031415926535897925,-0.0033859387488689996,1.2357454702895452,0,0,0.242,0,79
23,640635.65,65.15500000002794,0,0,0,0.00012217304763960306,-0.0032463124087094525,1.2349949787111878,0,0,0.242,0,79
24,640700.866,65.2160000000149,0,0,0,0.00038397243543875244,-0.003979350694547071,1.2350124320037075,0,0,0.242,0,79
25,640766.204,65.33799999998882,0,0,0,0.0007155849933176752,-0.003717551306747922,1.2361992558950636,0,0,0.242,0,79
26,640831.207,65.00300000002608,0,0,0,0.0002617993877991494,-0.003787364476827695,1.2386950767254155,0,0,0.242,0,79
27,640896.545,65.33799999998882,0,0,0,0.000593411945678072,-0.004223696789826277,1.2405625790250494,0,0,0.243,0,79
28,640961.547,65.00199999997858,0,0,0,0.0003665191429188092,-0.004380776422505768,1.242866413637682,0,0,0.243,0,79
29,641026.763,65.2160000000149,0,0,0,0.0006632251157578452,-0.0045553093477052,1.2475962559105866,0,0,0.242,0,79
30,641091.918,65.15499999991152,0,0,0,0.00017453292519943296,-0.003892084231947355,1.254560119626044,0,0,0.242,0,79
31,641157.135,65.2170000000624,0,0,0,0.001256637061435917,-0.003193952531149623,1.2604244259127448,0,0,0.243,0,79
32,641222.32,65.18499999993946,0,0,0,0.0029845130209103033,-0.0028274333882308137,1.2677722620636411,0,0,0.242,0,79
