n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,34211.975,NaN,0,0,0,0.000017453292519943296,0,0.017941984710501707,0,0,0.242,0,73
1,34282.135,NaN,0,0,0,-0.000017453292519943296,0,0.01802925117310142,0,0,0.242,0,73
2,34347.503,NaN,0,0,0,0.00005235987755982989,0,0.018081611050661254,0,0,0.242,0,73
3,34412.506,NaN,0,0,0,0.000017453292519943296,0,0.01816887751326097,0,0,0.242,0,73
4,34477.691,NaN,0,0,0,0.00003490658503988659,0,0.01837831702350029,0,0,0.242,0,73
5,34542.907,65.21600000000035,0,0,0,0.0002617993877991494,-0.00013962634015954637,0.0182212373908208,0,0,0.242,0,73
6,34673.156,65.12400000000343,0,0,0,-0.00020943951023931956,-0.0006632251157578452,0.018884462506578648,0,0,0.243,0,73
7,34738.464,65.30799999999726,0,0,0,-0.00015707963267948963,-0.0006806784082777885,0.018779742751458987,0,0,0.242,0,76
8,34803.588,65.12400000000343,0,0,0,-0.00020943951023931956,-0.0008203047484373349,0.01902408884673819,0,0,0.242,0,76
9,34868.957,65.36899999999878,0,0,0,-0.00027925268031909274,-0.001064650843716541,0.01864011641129944,0,0,0.242,0,76
10,34934.417,65.45999999999913,0,0,0,-0.00031415926535897925,-0.001186823891356144,0.01905899543177808,0,0,0.243,0,76
11,34999.298,64.88100000000122,0,0,0,-0.00047123889803846896,-0.0013264502315156904,0.019041542139258134,0,0,0.243,0,76
12,35064.27,64.9719999999943,0,0,0,-0.0004886921905584122,-0.0015358897417550098,0.018832102629018813,0,0,0.242,0,76
13,35129.547,65.27700000000186,0,0,0,-0.0004188790204786391,-0.0017453292519943296,0.019303341527057285,0,0,0.243,0,76
14,35194.702,65.15499999999884,0,0,0,-0.00015707963267948963,-0.002181661564992912,0.019617500792416264,0,0,0.243,0,76
15,35259.887,65.18500000000495,0,0,0,-0.00022689280275926284,-0.0020245819323134223,0.019826940302655582,0,0,0.242,0,76
16,35325.073,65.18599999999424,0,0,0,-0.00038397243543875244,-0.0018849555921538759,0.019669860669976093,0,0,0.243,0,76
17,35390.38,65.3070000000007,0,0,0,0.000017453292519943296,-0.0025481807079117207,0.019512781037296607,0,0,0.243,0,76
18,35455.383,65.00300000000425,0,0,0,-0.00019198621771937622,-0.0019024088846738192,0.01996656664281513,0,0,0.243,0,76
19,35520.66,65.27700000000186,0,0,0,-0.00027925268031909274,-0.0021118483949131386,0.019739673840055868,0,0,0.243,0,76
20,35585.754,65.09399999999732,0,0,0,-0.00012217304763960306,-0.0018849555921538759,0.02012364627549462,0,0,0.243,0,76
21,35651.031,65.27700000000186,0,0,0,-0.00027925268031909274,-0.0023212879051524586,0.020315632493213994,0,0,0.243,0,76
