n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,394317.26,NaN,1.0630147880874574e-7,-1.0654454672476276e-7,0,0.03029891581462156,0.08037241205433888,1.3706594214687067,0,0,0.242,0,20
1,394387.664,NaN,9.909709478961303e-8,-9.932286775438115e-8,0,0.030194196059501903,0.08032005217677905,1.370607061591147,0,0,0.242,0,20
2,394453.033,NaN,9.284627594752237e-8,-9.305722051067278e-8,0,0.030194196059501903,0.08042477193189869,1.370607061591147,0,0,0.242,0,20
3,394518.005,NaN,8.698971214471385e-8,-8.718662866158411e-8,0,0.030159289474462014,0.08051203839449843,1.370624514883667,0,0,0.242,0,20
4,394598.083,NaN,8.028436423046515e-8,-8.04664523457177e-8,0,0.030106929596902185,0.08033750546929898,1.370624514883667,0,0,0.242,0,20
5,394668.212,NaN,7.484306843252852e-8,-7.501422805944458e-8,0,0.030246555937061735,0.08026769229921922,1.3706419681761868,0,0,0.242,0,20
6,394733.581,65.36900000000605,7.012230344116688e-8,-7.028227264527232e-8,0,0.03026400922958167,0.08040731863937876,1.3706594214687067,0,0,0.242,0,20
7,394798.492,64.91100000002189,6.569904508069158e-8,-6.58487479086034e-8,0,0.03026400922958167,0.08047713180945854,1.3706594214687067,0,0,0.242,0,20
8,394863.861,65.36899999994785,6.155417941045015e-8,-6.16947581875138e-8,0,0.03029891581462156,0.08044222522441864,1.3706768747612268,0,0,0.242,0,20
9,394928.924,65.06300000002375,5.767102265963331e-8,-5.780287756351754e-8,0,0.030316369107141503,0.08044222522441864,1.3706943280537467,0,0,0.242,0,20
10,394994.018,65.09399999998277,5.403297109296545e-8,-5.4156404075911267e-8,0,0.030316369107141503,0.08047713180945854,1.3707117813462668,0,0,0.242,0,20
11,395059.265,65.24700000003213,5.062378477305174e-8,-5.074003274785355e-8,0,0.030368728984701335,0.08035495876181893,1.3707292346387867,0,0,0.242,0,20
12,395124.42,65.15499999996973,4.7429926780750976e-8,-4.753922621603124e-8,0,0.030421088862261168,0.08028514559173915,1.3707292346387867,0,0,0.242,0,20
13,395189.544,65.12400000001071,4.443745274329558e-8,-4.454008012544364e-8,0,0.030421088862261168,0.08018042583661951,1.3707292346387867,0,0,0.242,0,20
14,395254.852,65.30800000001909,4.163416087976657e-8,-4.173036722932011e-8,0,0.030438542154781107,0.08019787912913943,1.3707292346387867,0,0,0.242,0,20
15,395319.824,64.97200000000885,3.9008034946164117e-8,-3.9097954868339005e-8,0,0.030438542154781107,0.08032005217677905,1.3706943280537467,0,0,0.242,0,20
16,395385.009,65.18499999999767,3.654713145806454e-8,-3.6631441616918895e-8,0,0.030438542154781107,0.0803025988842591,1.3707117813462668,0,0,0.242,0,20
17,395450.225,65.2159999999567,3.424172246013768e-8,-3.432069570408203e-8,0,0.030473448739820993,0.08037241205433888,1.3707292346387867,0,0,0.242,0,20
18,395515.472,65.24700000003213,3.2081632525660095e-8,-3.215562173863873e-8,0,0.030473448739820993,0.08038986534685881,1.3707292346387867,0,0,0.242,0,20
19,395580.596,65.12400000001071,3.005782491527498e-8,-3.0127077479846776e-8,0,0.030473448739820993,0.08042477193189869,1.3706768747612268,0,0,0.242,0,20
20,395645.904,65.30799999996088,2.8161401132820175e-8,-2.8226451831869783e-8,0,0.03049090203234094,0.08032005217677905,1.3707117813462668,0,0,0.242,0,20
21,395710.906,65.00200000003679,2.638475052663125e-8,-2.6445599360158666e-8,0,0.030438542154781107,0.08028514559173915,1.3707117813462668,0,0,0.242,0,20
22,395776.306,65.39999999996508,2.4720138753764333e-8,-2.4777220460237004e-8,0,0.030438542154781107,0.08023278571417933,1.3707292346387867,0,0,0.242,0,20
