n,time,dt,vx,vy,vz,roll,pitch,yaw,x,y,z,detected,battery
0,305633.178,NaN,0.00243395733833313,0.0005881261825561524,0,0.03967133389783111,0.04534365396681268,1.400172939119931,0,0,0.243,0,28
1,305698.333,NaN,0.0022804090976715086,0.0005510148406028748,0,0.03979350694547071,0.045326200674292744,1.4001903924124508,0,0,0.243,0,28
2,305768.432,NaN,0.0021258599758148195,0.0005136664509773254,0,0.039950586578150205,0.045273840796732905,1.4002078457049707,0,0,0.243,0,28
3,305833.648,NaN,0.001991745471954346,0.00048125463724136354,0,0.040090212918309755,0.04522148091917308,1.4001903924124508,0,0,0.243,0,28
4,305898.803,NaN,0.0018660861253738403,0.0004508967101573944,0,0.040194932673429405,0.045116761164053415,1.400172939119931,0,0,0.243,0,28
5,305963.928,NaN,0.0017483636140823364,0.0004224441349506378,0,0.04031710572106901,0.045116761164053415,1.400103125949851,0,0,0.243,0,28
6,306029.052,NaN,0.0016380624771118164,0.00039580515027046203,0,0.040194932673429405,0.04504694799397364,1.4005569115553695,0,0,0.243,0,28
7,306094.39,65.33799999998882,0.0015347462892532349,0.0003708506524562836,0,0.039584067435231386,0.04536110725933262,1.4005743648478897,0,0,0.243,0,28
8,306159.362,64.97200000000885,0.001437867522239685,0.00034750500321388246,0,0.03961897402027128,0.044436082755775624,1.4001903924124508,0,0,0.243,0,28
9,306224.548,65.18599999998696,0.0013471499681472778,0.0003255930840969086,0,0.03956661414271145,0.04427900312309614,1.4003823786301703,0,0,0.243,0,28
10,306289.642,65.09399999998277,0.001262147307395935,0.0003050704002380371,0,0.03953170755767157,0.0439822971502571,1.4005045516778096,0,0,0.243,0,28
11,306354.827,65.18499999999767,0.001182514786720276,0.00028583377599716186,0,0.03953170755767157,0.04379031093253773,1.4006441780179695,0,0,0.243,0,28
12,306420.043,65.2160000000149,0.0011079071760177613,0.00026780965924263,0,0.039514254265151615,0.0436157780073383,1.4004696450927698,0,0,0.243,0,28
13,306485.137,65.09399999998277,0.0010380086898803711,0.00025092050433158877,0,0.039496800972631675,0.04349360495969869,1.4005394582628496,0,0,0.243,0,28
14,306550.323,65.18599999998696,0.0009725126624107361,0.00023509971797466278,0,0.03960152072775134,0.043179445694339715,1.400818710943169,0,0,0.243,0,28
15,306615.722,65.399000000034,0.0009111511707305908,0.00022028234601020812,0,0.03944444109507184,0.04293509959906051,1.400103125949851,0,0,0.243,0,28
16,306680.694,64.97200000000885,0.000853655755519867,0.0002064121663570404,0,0.03900810878207326,0.04251622057858187,1.4006092714329295,0,0,0.243,0,28
17,306745.88,65.18599999998696,0.0007998076677322388,0.00019337676465511322,0,0.03935717463247213,0.042655846918741414,1.4002078457049707,0,0,0.243,0,28
18,306810.974,65.09399999998277,0.0007493313550949096,0.00018119472265243532,0,0.039426987802551904,0.04202752838802345,1.4005918181404096,0,0,0.243,0,28
19,306876.159,65.18499999999767,0.0007020632028579711,0.000169770210981369,0,0.03900810878207326,0.04214970143566306,1.4002602055825306,0,0,0.243,0,28
20,306941.406,65.24700000003213,0.0006577614545822144,0.00015906968712806703,0,0.03907792195215303,0.041713369122664476,1.4006267247254494,0,0,0.242,0,28
21,307006.683,65.27700000000186,0.000616263210773468,0.0001490388661623001,0,0.03902556207459321,0.04159119607502487,1.4011154169160078,0,0,0.243,0,28
22,307071.685,65.00199999997858,0.0005773957371711731,0.00013963879644870758,0,0.038432150128915134,0.04199262180298357,1.40034747204513,0,0,0.242,0,28
23,307137.054,65.36900000000605,0.0005409422516822814,0.00013085207343101503,0,0.038659042931674395,0.04073598474154765,1.4002427522900107,0,0,0.243,0,28
24,307202.026,64.97200000000885,0.0005068280100822449,0.0001226033791899681,0,0.037629298672997746,0.04127703680966589,1.4000333127797713,0,0,0.242,0,28
25,307267.211,65.18499999999767,0.00047483447194099425,0.00011487884074449539,0,0.03820525732615587,0.0402298392584693,1.4002776588750507,0,0,0.242,0,28
26,307332.336,65.125,0.00044486352801322937,0.00010764019191265106,0,0.03871140280923423,0.039339721339952186,1.4006267247254494,0,0,0.242,0,28
27,307397.583,65.24699999997392,0.0004168362319469452,0.00010084385424852371,0,0.03651228795172138,0.04153883619746504,1.4003300187526104,0,0,0.242,0,28
28,307462.677,65.09400000004098,0.00039051446318626404,0.00009449789673089981,0,0.03710569989739944,0.03993313328563026,1.399509714004173,0,0,0.242,0,28
29,307527.832,65.15499999996973,0.0003659002482891083,0.00008853920549154282,0,0.035238197597765517,0.04138175656478556,1.4003823786301703,0,0,0.242,0,28
30,307593.078,65.24599999998463,0.0003427640199661255,0.00008296964317560195,0,0.038484510006474966,0.03743731245527837,1.3991257415687344,0,0,0.242,0,28
31,307658.355,65.27700000000186,0.0003211536705493927,0.00007775403559207916,0,0.03513347784264585,0.038501963298994905,1.3953907369694665,0,0,0.242,0,28
32,307723.419,65.06400000001304,0.00030089259147644045,0.00007284202426671982,0,0.03600614246864302,0.038414696836395194,1.397659664997059,0,0,0.242,0,28
33,307788.513,65.09399999998277,0.0002818536460399628,0.00006829487532377243,0,0.03743731245527837,0.032724923474893676,1.4035937844538398,0,0,0.242,0,28
34,307853.668,65.15500000002794,0.00026405224204063414,0.00006400687247514725,0,0.03817035074111599,0.030246555937061735,1.4117444720606533,0,0,0.242,0,28
35,307918.762,65.09399999998277,0.00024737562239170077,0.00005997682735323906,0,0.042010075095503516,0.027628562059070234,1.4200696925926664,0,0,0.242,0,28
36,307983.917,65.15500000002794,0.00023176112771034242,0.0000562182329595089,0,0.03899065548955332,0.02623229865747477,1.4276095149612817,0,0,0.243,0,28
37,308049.102,65.18499999999767,0.0002171679437160492,0.00005267085134983063,0,0.031328660073298216,0.030682888250060315,1.4345035655066594,0,0,0.242,0,28
38,308114.257,65.15499999996973,0.00020349633693695068,0.00004938042163848877,0,0.0210835773640915,0.03494149162492648,1.4371913725547305,0,0,0.242,0,28
39,308179.534,65.27700000000186,0.0001906435638666153,0.0000463230088353157,0,0.012217304763960306,0.03260275042725407,1.4342243128263403,0,0,0.242,0,28
40,308244.537,65.00300000002608,0.00017854006588459014,0.00004344765096902847,0,0.00890117918517108,0.014294246573833557,1.424485375600212,0,0,0.242,0,28
41,308309.753,65.2160000000149,0.00016726358234882356,0.00004073429107666016,0,0.0061959188445798695,-0.006789330790257941,1.412494963639011,0,0,0.243,0,28
42,308374.816,65.06299999996554,0.00015673190355300904,0.00003815320506691933,0,-0.0014660765716752368,-0.01741838593490341,1.4063688579645108,0,0,0.242,0,28
43,308439.971,65.15500000002794,0.00014685823023319244,0.00003571854159235954,0,-0.01022762941668677,-0.022183134792847926,1.4052518472432345,0,0,0.243,0,28
44,308505.31,65.33899999997811,0.0001375989764928818,0.00003344809263944626,0,-0.01541125729510993,-0.023858650874762487,1.4089693985499823,0,0,0.242,0,28
45,308570.404,65.09399999998277,-0.012688457489013672,0.016439760208129883,0,-0.012060225131280817,-0.021485003092050196,1.4520615777817223,0,0,0.242,0,28
46,308635.559,65.15500000002794,0.0214022216796875,-0.08227027130126953,0,-0.009145525280450286,-0.01488765851951163,1.4580829637011028,0,0,0.242,0,28
47,308701.202,65.64299999998184,0.09800104522705078,-0.07796761322021484,0,0.01022762941668677,0.0003665191429188092,1.4700733756623037,0,0,0.247,0,28
48,308765.838,64.6359999999986,0.07790542602539062,-0.14189199829101562,0,0.03975860036043082,0.03665191429188092,1.4859384185629323,0,0,0.26,0,28
49,308831.054,65.2160000000149,0.021022262573242186,-0.02699668884277344,0,0.08077383778229758,0.07354817467904105,1.5109664400365308,0,0,0.32,0,28
50,308896.148,65.09399999998277,0.013307098388671876,0.0820778045654297,0,0.10046115174479361,0.08742354223239597,1.5347203711561737,0,0,0.362,0,28
51,308961.364,65.2160000000149,-0.03231696319580078,0.14324772644042968,0,0.09306095571633764,0.08103563717009671,1.539642199646798,0,0,0.454,0,28
52,309026.55,65.18599999998696,0.003908798217773437,0.1450602111816406,0,0.04571017310973149,0.048624872960562025,1.5334462808022178,0,0,0.548,0,28
53,309091.613,65.06300000002375,0.03422686004638672,0.07729339599609375,0,0.002775073510670984,0.018203784098300854,1.5265522302568402,0,0,0.592,0,28
54,309156.799,65.18599999998696,0.02722511863708496,0.06131325149536133,0,-0.014905111812031574,0.0031415926535897933,1.5191869408134244,0,0,0.678,0,28
55,309222.076,65.27700000000186,0.018434423446655274,0.008780683517456055,0,-0.017662732030182614,-0.0002617993877991494,1.511018799914091,0,0,0.754,0,28
56,309287.109,65.03299999999581,0.028341718673706055,-0.06772962951660157,0,-0.00830776723949301,0.002897246558310587,1.5027110326745978,0,0,0.776,0,28
57,309352.386,65.27700000000186,0.015560340881347657,-0.11770162963867188,0,0.011065387457644049,0.00832522053201295,1.4961835012721387,0,0,0.805,0,28
